Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480520,449.9
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480390,450.87
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480448,450.38
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24440521,454.7
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480854,454.85
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480427,428.58
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480617,424.15
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480782,424.35
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480362,423.32
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480650,422.22
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24440232,398.21
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480373,395.87
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480590,395.34
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480357,395.11
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480407,391.68
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480453,367.7
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480372,366.15
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480874,366.81
switch19,4.32.5M,CCS-720DP-24S-2F,WTW24480635,366.54
switch20,4.32.5M,CCS-720DP-24S-2F,WTW24480627,366.14
switch21,4.32.5M,CCS-720DP-24S-2F,WTW24480352,4830.22
switch22,4.32.5M,CCS-720DP-24S-2F,WTW24480413,4826.4
