Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480633,5119.54
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480550,5117.99
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480621,5118.64
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24440229,5117.94
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480525,5116.73
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480689,5090.93
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480645,5128.85
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480740,5089.65
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24440164,5085.4
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480470,5092.25
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480504,5080.27
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480359,5063.17
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480543,5061.42
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480644,5061.34
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480391,5059.27
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480345,5049.86
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480481,5034.74
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480529,5030.8
