Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480611,170.18
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480379,166.38
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480706,208.41
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24480668,168.12
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480506,171.16
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480734,161.15
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480369,141.02
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480482,141.84
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24480409,141.16
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480428,139.06
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24440691,131.2
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480559,113.0
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480567,113.2
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480615,111.74
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480438,109.66
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480495,102.12
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480555,91.77
