Hostname,Version,Model,Serial,Uptime
switch1,4.32.5M,CCS-720DP-24S-2F,WTW24480633,5143.93
switch2,4.32.5M,CCS-720DP-24S-2F,WTW24480550,5142.38
switch3,4.32.5M,CCS-720DP-24S-2F,WTW24480621,5143.01
switch4,4.32.5M,CCS-720DP-24S-2F,WTW24440229,5142.34
switch5,4.32.5M,CCS-720DP-24S-2F,WTW24480525,5141.15
switch6,4.32.5M,CCS-720DP-24S-2F,WTW24480689,5115.14
switch7,4.32.5M,CCS-720DP-24S-2F,WTW24480645,5153.07
switch8,4.32.5M,CCS-720DP-24S-2F,WTW24480740,5113.86
switch9,4.32.5M,CCS-720DP-24S-2F,WTW24440164,5109.64
switch10,4.32.5M,CCS-720DP-24S-2F,WTW24480470,5116.46
switch11,4.32.5M,CCS-720DP-24S-2F,WTW24480504,5104.39
switch12,4.32.5M,CCS-720DP-24S-2F,WTW24480359,5087.25
switch13,4.32.5M,CCS-720DP-24S-2F,WTW24480543,5085.5
switch14,4.32.5M,CCS-720DP-24S-2F,WTW24480644,5085.41
switch15,4.32.5M,CCS-720DP-24S-2F,WTW24480391,5083.34
switch16,4.32.5M,CCS-720DP-24S-2F,WTW24480345,5073.85
switch17,4.32.5M,CCS-720DP-24S-2F,WTW24480481,5058.63
switch18,4.32.5M,CCS-720DP-24S-2F,WTW24480529,5054.77
